SEXE,EDAT,DATA,ESDEVENIMENT,PAUTA,RECOMPTE
Dona,50 a 59,10/12/2021,Cas,No iniciada,36
Dona,50 a 59,10/12/2021,Cas,Parcial,4
Dona,50 a 59,10/12/2021,Cas,Completa,270
Home,50 a 59,10/12/2021,Cas,Completa,217
Home,50 a 59,10/12/2021,Cas,Parcial,2
Home,50 a 59,10/12/2021,Cas,No iniciada,34
Home,50 a 59,10/12/2021,Crítics,No iniciada,2
Home,50 a 59,10/12/2021,Hospitalització,Parcial,1
Home,50 a 59,10/12/2021,Hospitalització,Completa,8
Home,50 a 59,10/12/2021,Hospitalització,No iniciada,6
Home,50 a 59,10/12/2021,Crítics,Completa,1
Dona,60 a 69,10/12/2021,Hospitalització,No iniciada,2
Dona,60 a 69,10/12/2021,Cas,Parcial,5
Dona,60 a 69,10/12/2021,Cas,Completa,206
Dona,60 a 69,10/12/2021,Cas,No iniciada,29
Dona,60 a 69,10/12/2021,Hospitalització,Completa,6
Home,60 a 69,10/12/2021,Hospitalització,No iniciada,4
Home,60 a 69,10/12/2021,Cas,Parcial,3
Home,60 a 69,10/12/2021,Cas,Completa,185
Home,60 a 69,10/12/2021,Crítics,Completa,3
Home,60 a 69,10/12/2021,Hospitalització,Parcial,1
Home,60 a 69,10/12/2021,Hospitalització,Completa,16
Home,60 a 69,10/12/2021,Cas,No iniciada,19
Dona,70 a 79,10/12/2021,Cas,No iniciada,10
Dona,70 a 79,10/12/2021,Hospitalització,Completa,11
Dona,70 a 79,10/12/2021,Hospitalització,No iniciada,4
Dona,70 a 79,10/12/2021,Cas,Completa,98
Home,70 a 79,10/12/2021,Hospitalització,Completa,16
Home,70 a 79,10/12/2021,Cas,No iniciada,8
Home,70 a 79,10/12/2021,Cas,Completa,86
Home,70 a 79,10/12/2021,Crítics,Completa,2
Dona,80 o més,10/12/2021,Cas,Completa,59
Dona,80 o més,10/12/2021,Hospitalització,Completa,15
Dona,80 o més,10/12/2021,Cas,No iniciada,9
Dona,80 o més,10/12/2021,Hospitalització,No iniciada,1
Home,80 o més,10/12/2021,Cas,Completa,37
Home,80 o més,10/12/2021,Hospitalització,Completa,18
Home,80 o més,10/12/2021,Hospitalització,No iniciada,4
Home,80 o més,10/12/2021,Cas,No iniciada,5
Home,80 o més,10/12/2021,Cas,Parcial,1
No classificat,No classificat,10/12/2021,Cas,No iniciada,82
No classificat,No classificat,10/12/2021,Cas,Completa,5
Dona,0 a 9,09/12/2021,Hospitalització,No iniciada,2
Dona,0 a 9,09/12/2021,Cas,No iniciada,304
Home,0 a 9,09/12/2021,Cas,No iniciada,294
Dona,10 a 19,09/12/2021,Cas,Parcial,1
Dona,10 a 19,09/12/2021,Cas,Completa,81
Dona,10 a 19,09/12/2021,Cas,No iniciada,192
Home,10 a 19,09/12/2021,Cas,Parcial,5
Home,10 a 19,09/12/2021,Cas,Completa,66
Home,10 a 19,09/12/2021,Hospitalització,No iniciada,1
Home,10 a 19,09/12/2021,Cas,No iniciada,207
Dona,20 a 29,09/12/2021,Cas,Completa,202
Dona,20 a 29,09/12/2021,Cas,Parcial,6
Dona,20 a 29,09/12/2021,Cas,No iniciada,52
Home,20 a 29,09/12/2021,Cas,Completa,145
Home,20 a 29,09/12/2021,Cas,Parcial,3
Home,20 a 29,09/12/2021,Cas,No iniciada,65
Dona,30 a 39,09/12/2021,Crítics,No iniciada,2
Dona,30 a 39,09/12/2021,Cas,No iniciada,103
Dona,30 a 39,09/12/2021,Hospitalització,Completa,2
Dona,30 a 39,09/12/2021,Hospitalització,No iniciada,3
Dona,30 a 39,09/12/2021,Cas,Parcial,4
Dona,30 a 39,09/12/2021,Cas,Completa,298
Home,30 a 39,09/12/2021,Cas,Completa,219
Home,30 a 39,09/12/2021,Hospitalització,No iniciada,1
Home,30 a 39,09/12/2021,Cas,No iniciada,80
Home,30 a 39,09/12/2021,Hospitalització,Completa,1
Home,30 a 39,09/12/2021,Cas,Parcial,4
Dona,40 a 49,09/12/2021,Cas,No iniciada,68
Dona,40 a 49,09/12/2021,Crítics,No iniciada,2
Dona,40 a 49,09/12/2021,Cas,Completa,475
Dona,40 a 49,09/12/2021,Cas,Parcial,5
Dona,40 a 49,09/12/2021,Hospitalització,Completa,3
Dona,40 a 49,09/12/2021,Crítics,Completa,1
Dona,40 a 49,09/12/2021,Hospitalització,No iniciada,2
Home,40 a 49,09/12/2021,Hospitalització,No iniciada,1
Home,40 a 49,09/12/2021,Cas,No iniciada,80
Home,40 a 49,09/12/2021,Cas,Parcial,6
Home,40 a 49,09/12/2021,Cas,Completa,402
Dona,50 a 59,09/12/2021,Cas,Completa,257
Dona,50 a 59,09/12/2021,Cas,Parcial,3
Dona,50 a 59,09/12/2021,Cas,No iniciada,48
Dona,50 a 59,09/12/2021,Hospitalització,Completa,3
Dona,50 a 59,09/12/2021,Hospitalització,Parcial,1
Dona,50 a 59,09/12/2021,Hospitalització,No iniciada,3
Dona,50 a 59,09/12/2021,Crítics,Completa,1
Home,50 a 59,09/12/2021,Crítics,Completa,2
Home,50 a 59,09/12/2021,Hospitalització,No iniciada,4
Home,50 a 59,09/12/2021,Cas,Completa,234
Home,50 a 59,09/12/2021,Cas,No iniciada,37
Home,50 a 59,09/12/2021,Hospitalització,Completa,6
Home,50 a 59,09/12/2021,Cas,Parcial,1
Home,50 a 59,09/12/2021,Crítics,No iniciada,1
Dona,60 a 69,09/12/2021,Crítics,Completa,1
Dona,60 a 69,09/12/2021,Hospitalització,Completa,3
Dona,60 a 69,09/12/2021,Hospitalització,No iniciada,4
Dona,60 a 69,09/12/2021,Crítics,No iniciada,1
Dona,60 a 69,09/12/2021,Cas,Completa,250
Dona,60 a 69,09/12/2021,Cas,Parcial,2
Dona,60 a 69,09/12/2021,Cas,No iniciada,20
Home,60 a 69,09/12/2021,Crítics,Completa,5
Home,60 a 69,09/12/2021,Hospitalització,Completa,16
Home,60 a 69,09/12/2021,Cas,No iniciada,21
Home,60 a 69,09/12/2021,Hospitalització,No iniciada,4
Home,60 a 69,09/12/2021,Crítics,No iniciada,1
Home,60 a 69,09/12/2021,Cas,Parcial,6
Home,60 a 69,09/12/2021,Cas,Completa,214
Home,60 a 69,09/12/2021,Defunció,Completa,1
Dona,70 a 79,09/12/2021,Hospitalització,No iniciada,2
Dona,70 a 79,09/12/2021,Crítics,Completa,3
Dona,70 a 79,09/12/2021,Cas,No iniciada,9
Dona,70 a 79,09/12/2021,Hospitalització,Completa,6
Dona,70 a 79,09/12/2021,Cas,Completa,88
Home,70 a 79,09/12/2021,Hospitalització,No iniciada,2
Home,70 a 79,09/12/2021,Crítics,Completa,5
Home,70 a 79,09/12/2021,Cas,No iniciada,6
Home,70 a 79,09/12/2021,Cas,Completa,112
Home,70 a 79,09/12/2021,Hospitalització,Completa,8
Dona,80 o més,09/12/2021,Hospitalització,Completa,8
Dona,80 o més,09/12/2021,Crítics,Completa,1
Dona,80 o més,09/12/2021,Cas,No iniciada,7
Dona,80 o més,09/12/2021,Hospitalització,No iniciada,1
Dona,80 o més,09/12/2021,Cas,Completa,61
Dona,80 o més,09/12/2021,Defunció,Completa,1
Dona,80 o més,09/12/2021,Cas,Parcial,1
Home,80 o més,09/12/2021,Hospitalització,Completa,14
Home,80 o més,09/12/2021,Defunció,Completa,1
Home,80 o més,09/12/2021,Cas,No iniciada,5
Home,80 o més,09/12/2021,Cas,Completa,51
No classificat,No classificat,09/12/2021,Cas,No iniciada,88
No classificat,No classificat,09/12/2021,Cas,Parcial,1
No classificat,No classificat,09/12/2021,Cas,Completa,11
Dona,0 a 9,08/12/2021,Cas,No iniciada,93
Home,0 a 9,08/12/2021,Cas,No iniciada,115
Dona,10 a 19,08/12/2021,Cas,Parcial,1
Dona,10 a 19,08/12/2021,Cas,No iniciada,59
Dona,10 a 19,08/12/2021,Cas,Completa,41
Home,10 a 19,08/12/2021,Cas,Completa,27
Home,10 a 19,08/12/2021,Cas,No iniciada,73
Dona,20 a 29,08/12/2021,Cas,Completa,70
Dona,20 a 29,08/12/2021,Cas,No iniciada,29
Dona,20 a 29,08/12/2021,Hospitalització,Completa,1
Dona,20 a 29,08/12/2021,Hospitalització,No iniciada,1
Dona,20 a 29,08/12/2021,Cas,Parcial,1
Home,20 a 29,08/12/2021,Cas,Parcial,2
Home,20 a 29,08/12/2021,Cas,Completa,62
Home,20 a 29,08/12/2021,Hospitalització,No iniciada,1
Home,20 a 29,08/12/2021,Cas,No iniciada,30
Dona,30 a 39,08/12/2021,Hospitalització,No iniciada,1
Dona,30 a 39,08/12/2021,Cas,No iniciada,49
Dona,30 a 39,08/12/2021,Cas,Completa,125
Dona,30 a 39,08/12/2021,Cas,Parcial,3
Home,30 a 39,08/12/2021,Hospitalització,No iniciada,1
Home,30 a 39,08/12/2021,Cas,No iniciada,34
Home,30 a 39,08/12/2021,Cas,Parcial,1
Home,30 a 39,08/12/2021,Cas,Completa,75
Dona,40 a 49,08/12/2021,Cas,No iniciada,43
Dona,40 a 49,08/12/2021,Hospitalització,No iniciada,3
Dona,40 a 49,08/12/2021,Crítics,No iniciada,1
Dona,40 a 49,08/12/2021,Cas,Completa,173
Dona,40 a 49,08/12/2021,Hospitalització,Completa,2
Dona,40 a 49,08/12/2021,Crítics,Completa,1
Dona,40 a 49,08/12/2021,Cas,Parcial,4
Home,40 a 49,08/12/2021,Hospitalització,No iniciada,1
Home,40 a 49,08/12/2021,Cas,Parcial,1
Home,40 a 49,08/12/2021,Hospitalització,Completa,2
Home,40 a 49,08/12/2021,Cas,Completa,160
Home,40 a 49,08/12/2021,Crítics,Completa,1
Home,40 a 49,08/12/2021,Cas,No iniciada,30
Dona,50 a 59,08/12/2021,Cas,No iniciada,19
Dona,50 a 59,08/12/2021,Hospitalització,No iniciada,3
Dona,50 a 59,08/12/2021,Cas,Parcial,2
Dona,50 a 59,08/12/2021,Hospitalització,Parcial,1
Dona,50 a 59,08/12/2021,Crítics,No iniciada,2
Dona,50 a 59,08/12/2021,Cas,Completa,105
Dona,50 a 59,08/12/2021,Hospitalització,Completa,2
Home,50 a 59,08/12/2021,Hospitalització,No iniciada,2
Home,50 a 59,08/12/2021,Crítics,No iniciada,1
Home,50 a 59,08/12/2021,Cas,Parcial,1
Home,50 a 59,08/12/2021,Cas,Completa,98
Home,50 a 59,08/12/2021,Cas,No iniciada,21
Home,50 a 59,08/12/2021,Hospitalització,Completa,1
Dona,60 a 69,08/12/2021,Crítics,No iniciada,3
Dona,60 a 69,08/12/2021,Cas,No iniciada,9
Dona,60 a 69,08/12/2021,Hospitalització,No iniciada,1
Dona,60 a 69,08/12/2021,Cas,Completa,80
Dona,60 a 69,08/12/2021,Crítics,Completa,1
Dona,60 a 69,08/12/2021,Cas,Parcial,1
Dona,60 a 69,08/12/2021,Hospitalització,Completa,9
Home,60 a 69,08/12/2021,Hospitalització,No iniciada,3
Home,60 a 69,08/12/2021,Hospitalització,Completa,16
Home,60 a 69,08/12/2021,Defunció,No iniciada,1
Home,60 a 69,08/12/2021,Cas,Completa,82
Home,60 a 69,08/12/2021,Crítics,Completa,4
Home,60 a 69,08/12/2021,Defunció,Completa,1
Home,60 a 69,08/12/2021,Cas,No iniciada,13
Home,60 a 69,08/12/2021,Crítics,No iniciada,1
Dona,70 a 79,08/12/2021,Cas,Completa,44
Dona,70 a 79,08/12/2021,Hospitalització,No iniciada,1
Dona,70 a 79,08/12/2021,Cas,No iniciada,3
Dona,70 a 79,08/12/2021,Hospitalització,Completa,4
Home,70 a 79,08/12/2021,Crítics,Completa,2
Home,70 a 79,08/12/2021,Hospitalització,No iniciada,3
Home,70 a 79,08/12/2021,Crítics,No iniciada,1
Home,70 a 79,08/12/2021,Cas,No iniciada,1
Home,70 a 79,08/12/2021,Hospitalització,Completa,11
Home,70 a 79,08/12/2021,Cas,Completa,40
Dona,80 o més,08/12/2021,Hospitalització,No iniciada,4
Dona,80 o més,08/12/2021,Hospitalització,Completa,10
Dona,80 o més,08/12/2021,Cas,No iniciada,3
Dona,80 o més,08/12/2021,Defunció,Completa,1
Dona,80 o més,08/12/2021,Cas,Completa,22
Home,80 o més,08/12/2021,Hospitalització,Completa,9
Home,80 o més,08/12/2021,Cas,Parcial,1
Home,80 o més,08/12/2021,Defunció,Completa,2
Home,80 o més,08/12/2021,Cas,Completa,21
No classificat,No classificat,08/12/2021,Cas,Completa,1
No classificat,No classificat,08/12/2021,Cas,Parcial,1
No classificat,No classificat,08/12/2021,Cas,No iniciada,28
Dona,0 a 9,07/12/2021,Cas,No iniciada,306
Home,0 a 9,07/12/2021,Hospitalització,No iniciada,1
Home,0 a 9,07/12/2021,Cas,No iniciada,338
Dona,10 a 19,07/12/2021,Hospitalització,No iniciada,1
Dona,10 a 19,07/12/2021,Cas,Completa,67
Dona,10 a 19,07/12/2021,Cas,Parcial,2
Dona,10 a 19,07/12/2021,Cas,No iniciada,165
Home,10 a 19,07/12/2021,Cas,No iniciada,171
Home,10 a 19,07/12/2021,Crítics,No iniciada,1
Home,10 a 19,07/12/2021,Cas,Completa,48
Home,10 a 19,07/12/2021,Cas,Parcial,3
Home,10 a 19,07/12/2021,Hospitalització,No iniciada,1
Dona,20 a 29,07/12/2021,Cas,Completa,149
Dona,20 a 29,07/12/2021,Cas,No iniciada,51
Home,20 a 29,07/12/2021,Cas,Completa,82
Home,20 a 29,07/12/2021,Cas,Parcial,5
Home,20 a 29,07/12/2021,Cas,No iniciada,54
Dona,30 a 39,07/12/2021,Cas,Completa,282
Dona,30 a 39,07/12/2021,Cas,No iniciada,82
Dona,30 a 39,07/12/2021,Cas,Parcial,7
Dona,30 a 39,07/12/2021,Hospitalització,Completa,1
Dona,30 a 39,07/12/2021,Hospitalització,No iniciada,2
Home,30 a 39,07/12/2021,Cas,Completa,187
Home,30 a 39,07/12/2021,Cas,No iniciada,77
Home,30 a 39,07/12/2021,Cas,Parcial,4
Dona,40 a 49,07/12/2021,Crítics,No iniciada,1
Dona,40 a 49,07/12/2021,Cas,Completa,437
Dona,40 a 49,07/12/2021,Cas,No iniciada,78
Dona,40 a 49,07/12/2021,Hospitalització,No iniciada,5
Dona,40 a 49,07/12/2021,Hospitalització,Completa,1
Dona,40 a 49,07/12/2021,Cas,Parcial,2
Home,40 a 49,07/12/2021,Cas,Completa,366
Home,40 a 49,07/12/2021,Hospitalització,No iniciada,4
Home,40 a 49,07/12/2021,Cas,Parcial,3
Home,40 a 49,07/12/2021,Crítics,Completa,1
Home,40 a 49,07/12/2021,Hospitalització,Completa,1
Home,40 a 49,07/12/2021,Crítics,No iniciada,1
Home,40 a 49,07/12/2021,Cas,No iniciada,72
Dona,50 a 59,07/12/2021,Cas,Parcial,4
Dona,50 a 59,07/12/2021,Crítics,No iniciada,1
Dona,50 a 59,07/12/2021,Hospitalització,Completa,3
Dona,50 a 59,07/12/2021,Hospitalització,No iniciada,2
Dona,50 a 59,07/12/2021,Cas,Completa,265
Dona,50 a 59,07/12/2021,Cas,No iniciada,36
Home,50 a 59,07/12/2021,Crítics,Completa,1
Home,50 a 59,07/12/2021,Crítics,No iniciada,2
Home,50 a 59,07/12/2021,Defunció,Completa,1
Home,50 a 59,07/12/2021,Cas,Completa,254
Home,50 a 59,07/12/2021,Cas,No iniciada,28
Home,50 a 59,07/12/2021,Hospitalització,Completa,3
Home,50 a 59,07/12/2021,Cas,Parcial,2
Home,50 a 59,07/12/2021,Hospitalització,No iniciada,2
Dona,60 a 69,07/12/2021,Cas,Completa,246
Dona,60 a 69,07/12/2021,Crítics,No iniciada,1
Dona,60 a 69,07/12/2021,Cas,Parcial,3
Dona,60 a 69,07/12/2021,Hospitalització,Completa,8
Dona,60 a 69,07/12/2021,Cas,No iniciada,25
Dona,60 a 69,07/12/2021,Hospitalització,No iniciada,4
Home,60 a 69,07/12/2021,Hospitalització,Parcial,1
Home,60 a 69,07/12/2021,Cas,No iniciada,14
Home,60 a 69,07/12/2021,Crítics,No iniciada,1
Home,60 a 69,07/12/2021,Crítics,Completa,1
Home,60 a 69,07/12/2021,Hospitalització,Completa,13
Home,60 a 69,07/12/2021,Cas,Parcial,2
Home,60 a 69,07/12/2021,Hospitalització,No iniciada,1
Home,60 a 69,07/12/2021,Cas,Completa,218
Dona,70 a 79,07/12/2021,Crítics,No iniciada,2
Dona,70 a 79,07/12/2021,Hospitalització,No iniciada,1
Dona,70 a 79,07/12/2021,Cas,Completa,96
Dona,70 a 79,07/12/2021,Hospitalització,Completa,7
Dona,70 a 79,07/12/2021,Cas,No iniciada,10
Dona,70 a 79,07/12/2021,Defunció,Completa,1
Home,70 a 79,07/12/2021,Crítics,No iniciada,1
Home,70 a 79,07/12/2021,Cas,Completa,100
Home,70 a 79,07/12/2021,Defunció,Completa,1
